"Município";"2010";"Total"
"110001 ALTA FLORESTA D'OESTE";6;6
"110002 ARIQUEMES";32;32
"110003 CABIXI";1;1
"110004 CACOAL";16;16
"110005 CEREJEIRAS";1;1
"110006 COLORADO DO OESTE";2;2
"110007 CORUMBIARA";1;1
"110008 COSTA MARQUES";1;1
"110009 ESPIGAO D'OESTE";4;4
"110010 GUAJARA-MIRIM";15;15
"110011 JARU";9;9
"110012 JI-PARANA";36;36
"110013 MACHADINHO D'OESTE";3;3
"110014 NOVA BRASILANDIA D'OESTE";3;3
"110015 OURO PRETO DO OESTE";5;5
"110018 PIMENTA BUENO";8;8
"110020 PORTO VELHO";349;349
"110025 PRESIDENTE MEDICI";2;2
"110028 ROLIM DE MOURA";2;2
"110030 VILHENA";30;30
"110033 NOVA MAMORE";4;4
"110034 ALVORADA D'OESTE";1;1
"110040 ALTO PARAISO";2;2
"110045 BURITIS";2;2
"110094 CUJUBIM";1;1
"110100 GOVERNADOR JORGE TEIXEIRA";1;1
"110110 ITAPUA DO OESTE";1;1
"110145 PARECIS";1;1
"110150 SERINGUEIRAS";1;1
"120001 ACRELANDIA";1;1
"120010 BRASILEIA";7;7
"120020 CRUZEIRO DO SUL";46;46
"120025 EPITACIOLANDIA";3;3
"120030 FEIJO";13;13
"120032 JORDAO";10;10
"120033 MANCIO LIMA";2;2
"120034 MANOEL URBANO";2;2
"120035 MARECHAL THAUMATURGO";3;3
"120038 PLACIDO DE CASTRO";3;3
"120039 PORTO WALTER";1;1
"120040 RIO BRANCO";221;221
"120042 RODRIGUES ALVES";1;1
"120043 SANTA ROSA DO PURUS";3;3
"120045 SENADOR GUIOMARD";2;2
"120050 SENA MADUREIRA";8;8
"120060 TARAUACA";21;21
"120070 XAPURI";6;6
"130002 ALVARAES";9;9
"130006 AMATURA";3;3
"130008 ANAMA";2;2
"130010 ANORI";3;3
"130014 APUI";2;2
"130020 ATALAIA DO NORTE";10;10
"130030 AUTAZES";14;14
"130040 BARCELOS";4;4
"130050 BARREIRINHA";6;6
"130060 BENJAMIN CONSTANT";33;33
"130063 BERURI";4;4
"130068 BOA VISTA DO RAMOS";1;1
"130070 BOCA DO ACRE";4;4
"130080 BORBA";8;8
"130090 CANUTAMA";3;3
"130100 CARAUARI";19;19
"130110 CAREIRO";2;2
"130115 CAREIRO DA VARZEA";2;2
"130120 COARI";25;25
"130130 CODAJAS";11;11
"130140 EIRUNEPE";45;45
"130150 ENVIRA";14;14
"130160 FONTE BOA";5;5
"130165 GUAJARA";3;3
"130170 HUMAITA";6;6
"130180 IPIXUNA";4;4
"130185 IRANDUBA";9;9
"130190 ITACOATIARA";23;23
"130195 ITAMARATI";2;2
"130200 ITAPIRANGA";3;3
"130210 JAPURA";1;1
"130220 JURUA";1;1
"130230 JUTAI";3;3
"130240 LABREA";13;13
"130250 MANACAPURU";25;25
"130255 MANAQUIRI";1;1
"130260 MANAUS";789;789
"130270 MANICORE";15;15
"130280 MARAA";8;8
"130290 MAUES";21;21
"130300 NHAMUNDA";2;2
"130310 NOVA OLINDA DO NORTE";16;16
"130320 NOVO AIRAO";1;1
"130330 NOVO ARIPUANA";5;5
"130340 PARINTINS";43;43
"130350 PAUINI";4;4
"130353 PRESIDENTE FIGUEIREDO";3;3
"130356 RIO PRETO DA EVA";7;7
"130360 SANTA ISABEL DO RIO NEGRO";9;9
"130370 SANTO ANTONIO DO ICA";13;13
"130380 SAO GABRIEL DA CACHOEIRA";41;41
"130390 SAO PAULO DE OLIVENCA";20;20
"130395 SAO SEBASTIAO DO UATUMA";1;1
"130400 SILVES";1;1
"130406 TABATINGA";59;59
"130410 TAPAUA";7;7
"130420 TEFE";40;40
"130423 TONANTINS";2;2
"130426 UARINI";15;15
"130430 URUCARA";1;1
"140002 AMAJARI";2;2
"140005 ALTO ALEGRE";2;2
"140010 BOA VISTA";138;138
"140015 BONFIM";1;1
"140017 CANTA";2;2
"140023 CAROEBE";2;2
"140028 IRACEMA";1;1
"140040 NORMANDIA";1;1
"140045 PACARAIMA";4;4
"140047 RORAINOPOLIS";3;3
"140050 SAO JOAO DA BALIZA";1;1
"140070 UIRAMUTA";1;1
"150010 ABAETETUBA";32;32
"150020 ACARA";3;3
"150030 AFUA";3;3
"150040 ALENQUER";26;26
"150050 ALMEIRIM";11;11
"150060 ALTAMIRA";97;97
"150070 ANAJAS";9;9
"150080 ANANINDEUA";97;97
"150085 ANAPU";9;9
"150090 AUGUSTO CORREA";5;5
"150095 AURORA DO PARA";2;2
"150100 AVEIRO";3;3
"150110 BAGRE";6;6
"150120 BAIAO";3;3
"150130 BARCARENA";17;17
"150140 BELEM";1028;1028
"150145 BELTERRA";2;2
"150150 BENEVIDES";2;2
"150157 BOM JESUS DO TOCANTINS";2;2
"150170 BRAGANCA";80;80
"150172 BRASIL NOVO";1;1
"150175 BREJO GRANDE DO ARAGUAIA";1;1
"150178 BREU BRANCO";3;3
"150180 BREVES";71;71
"150190 BUJARU";1;1
"150195 CACHOEIRA DO PIRIA";2;2
"150200 CACHOEIRA DO ARARI";2;2
"150210 CAMETA";73;73
"150215 CANAA DOS CARAJAS";7;7
"150220 CAPANEMA";27;27
"150230 CAPITAO POCO";11;11
"150240 CASTANHAL";55;55
"150270 CONCEICAO DO ARAGUAIA";5;5
"150275 CONCORDIA DO PARA";7;7
"150276 CUMARU DO NORTE";1;1
"150277 CURIONOPOLIS";7;7
"150280 CURRALINHO";8;8
"150285 CURUA";1;1
"150290 CURUCA";1;1
"150293 DOM ELISEU";13;13
"150295 ELDORADO DOS CARAJAS";6;6
"150304 FLORESTA DO ARAGUAIA";2;2
"150307 GARRAFAO DO NORTE";4;4
"150309 GOIANESIA DO PARA";5;5
"150310 GURUPA";7;7
"150320 IGARAPE-ACU";3;3
"150330 IGARAPE-MIRI";16;16
"150345 IPIXUNA DO PARA";9;9
"150350 IRITUIA";1;1
"150360 ITAITUBA";52;52
"150370 ITUPIRANGA";6;6
"150375 JACAREACANGA";20;20
"150380 JACUNDA";16;16
"150390 JURUTI";23;23
"150400 LIMOEIRO DO AJURU";3;3
"150405 MAE DO RIO";9;9
"150420 MARABA";158;158
"150430 MARACANA";3;3
"150440 MARAPANIM";1;1
"150442 MARITUBA";21;21
"150445 MEDICILANDIA";3;3
"150450 MELGACO";6;6
"150460 MOCAJUBA";8;8
"150470 MOJU";15;15
"150480 MONTE ALEGRE";27;27
"150490 MUANA";12;12
"150495 NOVA ESPERANCA DO PIRIA";8;8
"150497 NOVA IPIXUNA";2;2
"150503 NOVO PROGRESSO";21;21
"150506 NOVO REPARTIMENTO";9;9
"150510 OBIDOS";20;20
"150520 OEIRAS DO PARA";13;13
"150530 ORIXIMINA";21;21
"150540 OUREM";2;2
"150543 OURILANDIA DO NORTE";11;11
"150548 PACAJA";11;11
"150549 PALESTINA DO PARA";2;2
"150550 PARAGOMINAS";36;36
"150553 PARAUAPEBAS";53;53
"150555 PAU D'ARCO";2;2
"150563 PICARRA";2;2
"150565 PLACAS";4;4
"150570 PONTA DE PEDRAS";2;2
"150580 PORTEL";18;18
"150590 PORTO DE MOZ";9;9
"150600 PRAINHA";7;7
"150610 PRIMAVERA";1;1
"150613 REDENCAO";64;64
"150616 RIO MARIA";2;2
"150618 RONDON DO PARA";17;17
"150619 RUROPOLIS";4;4
"150620 SALINOPOLIS";7;7
"150630 SALVATERRA";9;9
"150650 SANTA IZABEL DO PARA";12;12
"150655 SANTA LUZIA DO PARA";1;1
"150658 SANTA MARIA DAS BARREIRAS";1;1
"150670 SANTANA DO ARAGUAIA";6;6
"150680 SANTAREM";180;180
"150690 SANTAREM NOVO";1;1
"150700 SANTO ANTONIO DO TAUA";1;1
"150710 SAO CAETANO DE ODIVELAS";2;2
"150715 SAO DOMINGOS DO ARAGUAIA";1;1
"150720 SAO DOMINGOS DO CAPIM";2;2
"150730 SAO FELIX DO XINGU";17;17
"150745 SAO GERALDO DO ARAGUAIA";5;5
"150747 SAO JOAO DE PIRABAS";1;1
"150760 SAO MIGUEL DO GUAMA";8;8
"150770 SAO SEBASTIAO DA BOA VISTA";12;12
"150775 SAPUCAIA";1;1
"150780 SENADOR JOSE PORFIRIO";3;3
"150790 SOURE";8;8
"150795 TAILANDIA";23;23
"150796 TERRA ALTA";1;1
"150797 TERRA SANTA";2;2
"150800 TOME-ACU";22;22
"150803 TRACUATEUA";3;3
"150805 TRAIRAO";2;2
"150808 TUCUMA";11;11
"150810 TUCURUI";116;116
"150812 ULIANOPOLIS";7;7
"150815 URUARA";15;15
"150820 VIGIA";5;5
"150830 VISEU";12;12
"150840 XINGUARA";7;7
"160015 PEDRA BRANCA DO AMAPARI";2;2
"160021 CUTIAS";1;1
"160023 FERREIRA GOMES";1;1
"160027 LARANJAL DO JARI";23;23
"160030 MACAPA";273;273
"160040 MAZAGAO";2;2
"160050 OIAPOQUE";7;7
"160053 PORTO GRANDE";3;3
"160060 SANTANA";34;34
"160070 TARTARUGALZINHO";2;2
"170035 ALIANCA DO TOCANTINS";2;2
"170040 ALMAS";1;1
"170070 ALVORADA";1;1
"170100 ANANAS";1;1
"170130 ARAGOMINAS";1;1
"170190 ARAGUACEMA";1;1
"170200 ARAGUACU";1;1
"170210 ARAGUAINA";114;114
"170220 ARAGUATINS";4;4
"170230 ARAPOEMA";1;1
"170240 ARRAIAS";7;7
"170255 AUGUSTINOPOLIS";28;28
"170307 BARRA DO OURO";1;1
"170330 BOM JESUS DO TOCANTINS";1;1
"170360 BRASILANDIA DO TOCANTINS";1;1
"170384 CAMPOS LINDOS";3;3
"170390 CASEARA";1;1
"170410 CENTENARIO";1;1
"170510 CHAPADA DA NATIVIDADE";1;1
"170550 COLINAS DO TOCANTINS";11;11
"170600 COUTO MAGALHAES";3;3
"170700 DIANOPOLIS";8;8
"170740 ESPERANTINA";1;1
"170770 FILADELFIA";1;1
"170820 FORMOSO DO ARAGUAIA";1;1
"170900 GOIATINS";1;1
"170930 GUARAI";7;7
"170950 GURUPI";35;35
"171050 ITACAJA";2;2
"171320 MIRACEMA DO TOCANTINS";9;9
"171330 MIRANORTE";1;1
"171360 MONTE DO CARMO";1;1
"171395 MURICILANDIA";1;1
"171500 NOVA ROSALANDIA";1;1
"171610 PARAISO DO TOCANTINS";7;7
"171650 PEDRO AFONSO";8;8
"171750 PIUM";1;1
"171790 PONTE ALTA DO TOCANTINS";1;1
"171800 PORTO ALEGRE DO TOCANTINS";1;1
"171820 PORTO NACIONAL";18;18
"171850 RECURSOLANDIA";2;2
"171890 SANTA ROSA DO TOCANTINS";2;2
"172000 SANTA TEREZINHA DO TOCANTINS";1;1
"172010 SAO BENTO DO TOCANTINS";2;2
"172049 SAO VALERIO";1;1
"172090 TAGUATINGA";9;9
"172100 PALMAS";145;145
"172110 TOCANTINIA";2;2
"172120 TOCANTINOPOLIS";8;8
"172130 TUPIRATINS";1;1
"172208 WANDERLANDIA";1;1
"172210 XAMBIOA";5;5
"210005 ACAILANDIA";15;15
"210010 AFONSO CUNHA";1;1
"210015 AGUA DOCE DO MARANHAO";1;1
"210020 ALCANTARA";3;3
"210030 ALDEIAS ALTAS";1;1
"210040 ALTAMIRA DO MARANHAO";3;3
"210047 ALTO ALEGRE DO PINDARE";4;4
"210050 ALTO PARNAIBA";1;1
"210060 AMARANTE DO MARANHAO";9;9
"210080 ANAPURUS";1;1
"210083 APICUM-ACU";2;2
"210087 ARAGUANA";1;1
"210090 ARAIOSES";1;1
"210095 ARAME";1;1
"210100 ARARI";4;4
"210110 AXIXA";2;2
"210120 BACABAL";35;35
"210135 BACURITUBA";1;1
"210140 BALSAS";31;31
"210150 BARAO DE GRAJAU";2;2
"210160 BARRA DO CORDA";43;43
"210170 BARREIRINHAS";9;9
"210173 BELAGUA";2;2
"210197 BOA VISTA DO GURUPI";2;2
"210200 BOM JARDIM";4;4
"210210 BREJO";3;3
"210215 BREJO DE AREIA";1;1
"210220 BURITI";9;9
"210230 BURITI BRAVO";2;2
"210232 BURITICUPU";6;6
"210240 CAJAPIO";4;4
"210250 CAJARI";3;3
"210270 CANTANHEDE";2;2
"210275 CAPINZAL DO NORTE";2;2
"210290 CARUTAPERA";6;6
"210300 CAXIAS";183;183
"210317 CENTRO NOVO DO MARANHAO";1;1
"210320 CHAPADINHA";52;52
"210330 CODO";25;25
"210340 COELHO NETO";10;10
"210350 COLINAS";11;11
"210360 COROATA";10;10
"210370 CURURUPU";39;39
"210375 DAVINOPOLIS";1;1
"210380 DOM PEDRO";1;1
"210390 DUQUE BACELAR";1;1
"210400 ESPERANTINOPOLIS";6;6
"210405 ESTREITO";1;1
"210407 FEIRA NOVA DO MARANHAO";1;1
"210408 FERNANDO FALCAO";6;6
"210409 FORMOSA DA SERRA NEGRA";4;4
"210410 FORTALEZA DOS NOGUEIRAS";3;3
"210420 FORTUNA";1;1
"210440 GONCALVES DIAS";2;2
"210450 GOVERNADOR ARCHER";3;3
"210462 GOVERNADOR LUIZ ROCHA";1;1
"210465 GOVERNADOR NEWTON BELLO";1;1
"210467 GOVERNADOR NUNES FREIRE";26;26
"210470 GRACA ARANHA";1;1
"210480 GRAJAU";10;10
"210500 HUMBERTO DE CAMPOS";8;8
"210520 IGARAPE GRANDE";1;1
"210530 IMPERATRIZ";316;316
"210535 ITAIPAVA DO GRAJAU";4;4
"210540 ITAPECURU MIRIM";15;15
"210542 ITINGA DO MARANHAO";7;7
"210560 JOSELANDIA";2;2
"210565 JUNCO DO MARANHAO";1;1
"210570 LAGO DA PEDRA";14;14
"210580 LAGO DO JUNCO";1;1
"210590 LAGO VERDE";2;2
"210592 LAGOA DO MATO";1;1
"210594 LAGO DOS RODRIGUES";1;1
"210596 LAGOA GRANDE DO MARANHAO";1;1
"210598 LAJEADO NOVO";1;1
"210600 LIMA CAMPOS";2;2
"210610 LORETO";3;3
"210630 MAGALHAES DE ALMEIDA";2;2
"210637 MARANHAOZINHO";1;1
"210640 MATA ROMA";1;1
"210660 MATOES";1;1
"210663 MATOES DO NORTE";1;1
"210667 MILAGRES DO MARANHAO";1;1
"210670 MIRADOR";5;5
"210675 MIRANDA DO NORTE";3;3
"210680 MIRINZAL";3;3
"210690 MONCAO";2;2
"210700 MONTES ALTOS";1;1
"210710 MORROS";4;4
"210720 NINA RODRIGUES";3;3
"210725 NOVA COLINAS";1;1
"210735 NOVA OLINDA DO MARANHAO";1;1
"210740 OLHO D'AGUA DAS CUNHAS";1;1
"210745 OLINDA NOVA DO MARANHAO";2;2
"210750 PACO DO LUMIAR";2;2
"210760 PALMEIRANDIA";1;1
"210790 PASSAGEM FRANCA";4;4
"210800 PASTOS BONS";1;1
"210805 PAULINO NEVES";1;1
"210810 PAULO RAMOS";7;7
"210820 PEDREIRAS";10;10
"210825 PEDRO DO ROSARIO";5;5
"210830 PENALVA";6;6
"210840 PERI MIRIM";1;1
"210845 PERITORO";1;1
"210850 PINDARE-MIRIM";2;2
"210860 PINHEIRO";53;53
"210870 PIO XII";8;8
"210880 PIRAPEMAS";7;7
"210890 POCAO DE PEDRAS";1;1
"210900 PORTO FRANCO";2;2
"210910 PRESIDENTE DUTRA";18;18
"210930 PRESIDENTE VARGAS";1;1
"210940 PRIMEIRA CRUZ";1;1
"210945 RAPOSA";1;1
"210950 RIACHAO";3;3
"210960 ROSARIO";5;5
"210970 SAMBAIBA";1;1
"210980 SANTA HELENA";2;2
"210990 SANTA INES";29;29
"211000 SANTA LUZIA";5;5
"211003 SANTA LUZIA DO PARUA";2;2
"211010 SANTA QUITERIA DO MARANHAO";10;10
"211020 SANTA RITA";2;2
"211040 SAO BENEDITO DO RIO PRETO";4;4
"211050 SAO BENTO";6;6
"211060 SAO BERNARDO";4;4
"211065 SAO DOMINGOS DO AZEITAO";3;3
"211070 SAO DOMINGOS DO MARANHAO";1;1
"211080 SAO FELIX DE BALSAS";1;1
"211090 SAO FRANCISCO DO MARANHAO";3;3
"211100 SAO JOAO BATISTA";2;2
"211102 SAO JOAO DO CARU";2;2
"211110 SAO JOAO DOS PATOS";5;5
"211120 SAO JOSE DE RIBAMAR";7;7
"211125 SAO JOSE DOS BASILIOS";1;1
"211130 SAO LUIS";758;758
"211140 SAO LUIS GONZAGA DO MARANHAO";1;1
"211150 SAO MATEUS DO MARANHAO";1;1
"211153 SAO PEDRO DA AGUA BRANCA";1;1
"211167 SAO ROBERTO";1;1
"211170 SAO VICENTE FERRER";3;3
"211174 SENADOR ALEXANDRE COSTA";1;1
"211178 SERRANO DO MARANHAO";1;1
"211180 SITIO NOVO";4;4
"211210 TIMBIRAS";1;1
"211220 TIMON";21;21
"211223 TRIZIDELA DO VALE";2;2
"211227 TUFILANDIA";1;1
"211230 TUNTUM";3;3
"211240 TURIACU";4;4
"211250 TUTOIA";9;9
"211260 URBANO SANTOS";1;1
"211270 VARGEM GRANDE";17;17
"211280 VIANA";17;17
"211285 VILA NOVA DOS MARTIRIOS";2;2
"211290 VITORIA DO MEARIM";11;11
"211300 VITORINO FREIRE";7;7
"211400 ZE DOCA";13;13
"220030 ALTO LONGA";1;1
"220040 ALTOS";1;1
"220050 AMARANTE";1;1
"220105 ASSUNCAO DO PIAUI";2;2
"220110 AVELINO LOPES";4;4
"220115 BAIXA GRANDE DO RIBEIRO";2;2
"220120 BARRAS";4;4
"220140 BARRO DURO";1;1
"220150 BATALHA";2;2
"220160 BENEDITINOS";2;2
"220173 BETANIA DO PIAUI";1;1
"220190 BOM JESUS";15;15
"220200 BURITI DOS LOPES";1;1
"220205 CABECEIRAS DO PIAUI";1;1
"220210 CAMPINAS DO PIAUI";1;1
"220211 CAMPO ALEGRE DO FIDALGO";1;1
"220220 CAMPO MAIOR";5;5
"220225 CANAVIEIRA";3;3
"220230 CANTO DO BURITI";3;3
"220260 CASTELO DO PIAUI";3;3
"220270 COCAL";5;5
"220273 COIVARAS";1;1
"220275 COLONIA DO GURGUEIA";1;1
"220280 CONCEICAO DO CANINDE";2;2
"220290 CORRENTE";11;11
"220300 CRISTALANDIA DO PIAUI";1;1
"220320 CURIMATA";2;2
"220342 DOMINGOS MOURAO";1;1
"220345 DOM INOCENCIO";1;1
"220350 ELESBAO VELOSO";2;2
"220370 ESPERANTINA";6;6
"220380 FLORES DO PIAUI";2;2
"220390 FLORIANO";18;18
"220410 FRANCISCO AYRES";1;1
"220415 FRANCISCO MACEDO";1;1
"220430 FRONTEIRAS";1;1
"220440 GILBUES";4;4
"220455 GUARIBAS";1;1
"220460 HUGO NAPOLEAO";1;1
"220465 ILHA GRANDE";1;1
"220470 INHUMA";1;1
"220490 ISAIAS COELHO";1;1
"220510 ITAUEIRA";3;3
"220520 JAICOS";2;2
"220540 JOAQUIM PIRES";1;1
"220550 JOSE DE FREITAS";3;3
"220552 JULIO BORGES";1;1
"220553 JUREMA";1;1
"220555 LAGOA ALEGRE";2;2
"220560 LANDRI SALES";1;1
"220570 LUIS CORREIA";2;2
"220580 LUZILANDIA";6;6
"220585 MADEIRO";1;1
"220590 MANOEL EMIDIO";1;1
"220595 MARCOLANDIA";1;1
"220600 MARCOS PARENTE";1;1
"220620 MIGUEL ALVES";4;4
"220660 MONTE ALEGRE DO PIAUI";2;2
"220665 MORRO CABECA NO TEMPO";2;2
"220670 NAZARE DO PIAUI";2;2
"220680 NOSSA SENHORA DOS REMEDIOS";2;2
"220700 OEIRAS";6;6
"220750 PALMEIRAIS";4;4
"220770 PARNAIBA";106;106
"220775 PASSAGEM FRANCA DO PIAUI";1;1
"220777 PATOS DO PIAUI";1;1
"220780 PAULISTANA";10;10
"220790 PEDRO II";7;7
"220800 PICOS";68;68
"220810 PIMENTEIRAS";1;1
"220820 PIO IX";3;3
"220830 PIRACURUCA";3;3
"220840 PIRIPIRI";9;9
"220850 PORTO";2;2
"220865 QUEIMADA NOVA";1;1
"220870 REDENCAO DO GURGUEIA";1;1
"220885 RIACHO FRIO";2;2
"220890 RIBEIRO GONCALVES";1;1
"220900 RIO GRANDE DO PIAUI";1;1
"220910 SANTA CRUZ DO PIAUI";1;1
"220920 SANTA FILOMENA";5;5
"220935 SANTANA DO PIAUI";1;1
"220945 SANTO ANTONIO DOS MILAGRES";1;1
"220975 SAO GONCALO DO GURGUEIA";1;1
"220987 SAO JOAO DA FRONTEIRA";2;2
"220990 SAO JOAO DA SERRA";1;1
"221000 SAO JOAO DO PIAUI";6;6
"221039 SAO MIGUEL DO FIDALGO";1;1
"221040 SAO MIGUEL DO TAPUIO";2;2
"221050 SAO PEDRO DO PIAUI";1;1
"221060 SAO RAIMUNDO NONATO";12;12
"221065 SIGEFREDO PACHECO";3;3
"221070 SIMOES";2;2
"221080 SIMPLICIO MENDES";2;2
"221090 SOCORRO DO PIAUI";1;1
"221093 SUSSUAPARA";1;1
"221100 TERESINA";631;631
"221110 UNIAO";6;6
"221120 URUCUI";1;1
"221130 VALENCA DO PIAUI";5;5
"221135 VARZEA BRANCA";1;1
"221140 VARZEA GRANDE";1;1
"221170 WALL FERRAZ";1;1
"230010 ABAIARA";2;2
"230020 ACARAU";5;5
"230030 ACOPIARA";9;9
"230040 AIUABA";2;2
"230050 ALCANTARAS";1;1
"230070 ALTO SANTO";1;1
"230075 AMONTADA";1;1
"230080 ANTONINA DO NORTE";1;1
"230090 APUIARES";2;2
"230100 AQUIRAZ";5;5
"230110 ARACATI";13;13
"230120 ARACOIABA";2;2
"230130 ARARIPE";3;3
"230140 ARATUBA";2;2
"230170 AURORA";1;1
"230185 BANABUIU";1;1
"230190 BARBALHA";98;98
"230210 BATURITE";5;5
"230220 BEBERIBE";3;3
"230230 BELA CRUZ";1;1
"230240 BOA VIAGEM";6;6
"230250 BREJO SANTO";21;21
"230260 CAMOCIM";6;6
"230270 CAMPOS SALES";3;3
"230280 CANINDE";20;20
"230290 CAPISTRANO";1;1
"230300 CARIDADE";2;2
"230320 CARIRIACU";1;1
"230330 CARIUS";1;1
"230340 CARNAUBAL";2;2
"230360 CATARINA";1;1
"230365 CATUNDA";1;1
"230370 CAUCAIA";24;24
"230380 CEDRO";1;1
"230390 CHAVAL";3;3
"230393 CHORO";1;1
"230395 CHOROZINHO";2;2
"230400 COREAU";1;1
"230410 CRATEUS";30;30
"230420 CRATO";39;39
"230423 CROATA";2;2
"230425 CRUZ";2;2
"230426 DEPUTADO IRAPUAN PINHEIRO";1;1
"230428 EUSEBIO";2;2
"230430 FARIAS BRITO";2;2
"230435 FORQUILHA";1;1
"230440 FORTALEZA";1061;1061
"230465 GRACA";1;1
"230470 GRANJA";6;6
"230495 GUAIUBA";2;2
"230500 GUARACIABA DO NORTE";4;4
"230523 HORIZONTE";1;1
"230540 ICO";9;9
"230550 IGUATU";14;14
"230560 INDEPENDENCIA";1;1
"230565 IPAPORANGA";1;1
"230570 IPAUMIRIM";1;1
"230580 IPU";3;3
"230590 IPUEIRAS";2;2
"230610 IRAUCUBA";2;2
"230630 ITAPAGE";7;7
"230640 ITAPIPOCA";33;33
"230655 ITAREMA";3;3
"230690 JAGUARIBE";4;4
"230700 JAGUARUANA";1;1
"230710 JARDIM";4;4
"230730 JUAZEIRO DO NORTE";105;105
"230740 JUCAS";1;1
"230750 LAVRAS DA MANGABEIRA";2;2
"230760 LIMOEIRO DO NORTE";8;8
"230765 MARACANAU";14;14
"230770 MARANGUAPE";1;1
"230780 MARCO";1;1
"230800 MASSAPE";3;3
"230810 MAURITI";4;4
"230820 MERUOCA";1;1
"230830 MILAGRES";2;2
"230835 MILHA";2;2
"230837 MIRAIMA";1;1
"230840 MISSAO VELHA";1;1
"230850 MOMBACA";5;5
"230860 MONSENHOR TABOSA";1;1
"230870 MORADA NOVA";6;6
"230890 MORRINHOS";1;1
"230900 MUCAMBO";1;1
"230920 NOVA OLINDA";2;2
"230930 NOVA RUSSAS";1;1
"230950 OROS";2;2
"230960 PACAJUS";4;4
"230970 PACATUBA";2;2
"230980 PACOTI";1;1
"231010 PALMACIA";1;1
"231020 PARACURU";1;1
"231025 PARAIPABA";2;2
"231030 PARAMBU";3;3
"231050 PEDRA BRANCA";2;2
"231060 PENAFORTE";1;1
"231070 PENTECOSTE";1;1
"231080 PEREIRO";1;1
"231085 PINDORETAMA";1;1
"231095 PIRES FERREIRA";1;1
